,zip,city,x,y
0,98065,Snoqualmie,-10,15
1,98577,Raymond,-92,-42
2,98506,Olympia,-70,-15
3,98857,Warden,52,6
4,98092,Auburn,-22,-3
5,99003,Chattaroy,92,18
6,98837,Moses Lake,48,6
7,98592,Union,-62,9
8,98025,Hobart,-12,0
9,98364,Port Gamble,-34,15
10,98561,Menlo,-94,-45
11,98926,Ellensburg,32,0
12,98511,Tumwater,-78,-27
13,99330,Eltopia,54,-3
14,98455,Tacoma,-30,9
15,98225,Bellingham,-32,78
16,99016,Greenacres,112,6
17,98248,Ferndale,-48,90
18,99337,Kennewick,46,-15
19,98063,Federal Way,-8,6
20,98238,Conway,-42,75
21,98014,Carnation,-14,21
22,99008,Edwall,72,12
23,98554,Lebam,-90,-45
24,98908,Yakima,36,-6
25,98335,Gig Harbor,-48,6
26,98852,Stehekin,22,21
27,98263,Lyman,-34,87
28,98687,Vancouver,-24,-60
29,99163,Pullman,84,-12
30,99113,Colton,82,-15
31,98498,Lakewood,-52,-24
32,99011,Fairchild Air Force Base,80,12
33,99157,Northport,62,45
34,98354,Milton,-30,-3
35,98597,Yelm,-54,-3
36,98222,Blakely Island,-50,81
37,98267,Marblemount,-2,57
38,98136,Seattle,-26,33
39,98342,Indianola,-40,12
40,98260,Langley,-44,66
41,99353,West Richland,34,-15
42,99102,Albion,82,-9
43,98224,Baring,-8,30
44,98178,Seattle,-24,12
45,98951,Wapato,26,-9
46,98550,Hoquiam,-80,6
47,98943,South Cle Elum,26,3
48,98649,Toutle,-32,-36
49,99136,Hay,70,3
50,98133,Seattle,-40,42
51,98830,Mansfield,44,12
52,98450,Tacoma,-12,-18
53,98433,Tacoma,-56,-30
54,98134,Seattle,-38,21
55,98056,Renton,-20,12
56,98033,Kirkland,-28,30
57,98404,Tacoma,-32,-18
58,98602,Appleton,-20,-36
59,98418,Tacoma,-8,-18
60,98022,Enumclaw,-16,-6
61,98252,Granite Falls,-14,39
62,98171,Seattle,0,0
63,99203,Spokane,86,-3
64,99161,Palouse,94,-9
65,98228,Bellingham,-22,75
66,98145,Seattle,-2,9
67,98629,La Center,-28,-54
68,98275,Mukilteo,-40,60
69,98184,Seattle,6,3
70,98655,Hazel Dell North,-30,-69
71,99019,Liberty Lake,116,6
72,98061,Rollingbay,-42,9
73,98038,Maple Valley,-16,0
