,ZIP_CODE,CITY,LONGITUDE,LATITUDE
0,98065,Snoqualmie,-121.83053,47.530639
1,98577,Raymond,-123.67708,46.668744
2,98506,Olympia,-122.87249,47.069339
3,98857,Warden,-119.0672,46.970666
4,98092,Auburn,-122.16328,47.297285
5,99003,Chattaroy,-117.29378,47.921687
6,98837,Moses Lake,-119.28455,47.133606
7,98592,Union,-123.07403,47.33179
8,98025,Hobart,-121.88496,47.430704
9,98364,Port Gamble,-122.59122,47.854503
10,98561,Menlo,-123.76903,46.514625
11,98926,Ellensburg,-120.52364,47.009726
12,98511,Tumwater,-123.030021,46.950223
13,99330,Eltopia,-119.06888,46.467186
14,98455,Tacoma,-122.113223,47.066193
15,98225,Bellingham,-122.48508,48.747578
16,99016,Greenacres,-117.15116,47.648693
17,98248,Ferndale,-122.61807,48.852655
18,99337,Kennewick,-119.10456,46.169982
19,98063,Federal Way,-121.803388,47.432251
20,98238,Conway,-122.34517,48.337796
21,98014,Carnation,-121.91265,47.648232
22,99008,Edwall,-117.93432,47.50505
23,98554,Lebam,-123.54788,46.561375
24,98908,Yakima,-120.61762,46.605303
25,98335,Gig Harbor,-122.60562,47.301252
26,98852,Stehekin,-120.73348,48.494944
27,98263,Lyman,-122.058644,48.534462
28,98687,Vancouver,-122.520347,45.801586
29,99163,Pullman,-117.18648,46.732705
30,99113,Colton,-117.16133,46.577614
31,98498,Lakewood,-122.55877,47.16062
32,99011,Fairchild Air Force Base,-117.67344,47.595572
33,99157,Northport,-117.81647,48.897876
34,98354,Milton,-122.31737,47.248208
35,98597,Yelm,-122.56719,46.893352
36,98222,Blakely Island,-122.80317,48.586563
37,98267,Marblemount,-121.43163,48.499159
38,98136,Seattle,-122.38803,47.538887
39,98342,Indianola,-122.53051,47.74878
40,98260,Langley,-122.44856,48.030555
41,99353,West Richland,-119.35457,46.297139
42,99102,Albion,-117.25208,46.793604
43,98224,Baring,-121.47607,47.763755
44,98178,Seattle,-122.24664,47.497971
45,98951,Wapato,-120.46721,46.457731
46,98550,Hoquiam,-123.91732,47.026913
47,98943,South Cle Elum,-120.95503,47.186592
48,98649,Toutle,-122.66054,46.352771
49,99136,Hay,-117.96015,46.669207
50,98133,Seattle,-122.34461,47.733852
51,98830,Mansfield,-119.54481,47.880616
52,98450,Tacoma,-122.113223,47.066193
53,98433,Tacoma,-122.57987,47.080682
54,98134,Seattle,-122.33441,47.57867
55,98056,Renton,-122.18372,47.510739
56,98033,Kirkland,-122.1934,47.67903
57,98404,Tacoma,-122.4156,47.212421
58,98602,Appleton,-121.29141,45.844123
59,98418,Tacoma,-122.113223,47.066193
60,98022,Enumclaw,-121.91915,47.193729
61,98252,Granite Falls,-121.82242,48.070852
62,98171,Seattle,-121.803388,47.432251
63,99203,Spokane,-117.40636,47.629091
64,99161,Palouse,-117.10575,46.905132
65,98228,Bellingham,-121.988548,48.814753
66,98145,Seattle,-121.803388,47.432251
67,98629,La Center,-122.62193,45.8768
68,98275,Mukilteo,-122.30293,47.916148
69,98184,Seattle,-121.803388,47.432251
70,98655,Hazel Dell North,-122.663954,45.678557
71,99019,Liberty Lake,-117.08628,47.656171
72,98061,Rollingbay,-122.576199,47.680763
73,98038,Maple Valley,-122.03553,47.381989
74,98108,Seattle,-122.31514,47.546188
75,98599,Olympia,-122.702393,46.978118
76,99104,Belmont,-117.176954,47.079345
77,98191,Seattle,-121.803388,47.432251
78,98116,Seattle,-122.39392,47.57487
79,98824,George,-119.860117,47.079243
80,98497,Lakewood,-122.113223,47.066193
81,98036,Lynnwood,-122.28394,47.808816
82,98361,Packwood,-121.61674,46.580048
83,98011,Bothell,-122.20257,47.751471
84,99180,Usk,-117.29236,48.295497
85,98603,Ariel,-122.45624,46.001752
86,98756,Ranier,-122.765,46.93945
87,98027,Issaquah,-122.02921,47.522828
88,98266,Maple Falls,-122.247881,48.853213
89,98442,Tacoma,-122.418495,47.308061
